id,lat,lon,name
430829373,46.9600335,7.4799152,Hänggi
430842487,46.9581795,7.4916026,Peter Brechtbühl AG
430905343,47.0175225,7.4908803,Migrol Service Schönbühl
431206375,46.6182993,6.4165305,Eni
432296457,47.2094875,9.4886231,Agrola
432296458,47.2112124,9.4943153,Coop
432615367,47.3159652,8.5302907,Avia Adliswil
433569065,47.3972404,9.0064483,Schmid-Garage AG
435573454,47.6843704,8.6600427,Coop Pronto
438227914,46.9542541,7.4333135,Ruedi Rüssel
440817437,47.3660407,9.5542563,Avia
440817438,47.3634959,9.5557017,Agrola
440848081,46.4107908,8.1515888,Tamoil
440891382,46.8152374,7.215482,BP
441134960,46.5052045,6.6765399,Tamoil
441595897,47.3506384,8.2723513,BP
441890755,47.6508092,9.1656162,Tamoil
442529871,47.2526094,7.6493802,Ruedi Rüssel
442592745,46.252595,7.0082419,Tamoil
442642800,47.3881888,9.652495,Coop Pronto Tankstelle
442642801,47.3884504,9.6515888,BP
442642802,47.3893601,9.6509158,Eni
442642803,47.3790862,9.6683762,Redfox Oil
442661254,46.1549418,8.9625001,Migrol
444007678,47.16551,8.290244,Coop
447307830,47.6062644,8.2320174,K. Nusser AG
447307833,47.60561,8.2312691,Shell-Service Koblenz
448165771,46.2508942,7.00238,Mini Prix
448167734,46.2496539,7.0133415,Station-Service Du Cropt SA
448294810,46.8890254,7.5211075,Agip Tankstelle Belp
449186802,46.9527363,8.2757388,Auto Dall'Omo
450602362,46.5564493,7.3746948,Coop pronto
450602370,46.6601511,7.5484331,Tamoil
450651181,46.6010259,10.4236186,Umbrail
450939177,46.962819,7.4527349,Coop Pronto
454582491,47.1345903,8.742489,Landi
454582502,47.1282521,8.7450831,AVIA
455338428,47.4649989,9.0345584,Auto Eberle
456381234,47.3874942,9.392037,BP
457333487,47.5434128,7.5894671,Avia
457679934,47.1311876,8.7659454,Shell
459174387,47.5236294,7.6943285,Coop Tankstelle
460886548,47.4608585,9.6028383,Avia Tankstelle
461145223,46.5751088,6.8395729,Station Eni
461764800,47.4984489,9.2315472,Migrol
